C_TERRITOIRE_ID;C_LBLTERRITOIRE;C_DEPARTEMENT_ID;C_LBLDEPARTEMENT;C_REGION_ID;C_LBLREGION;TX_ACCESM6;TX_PRESEMPM6;TX_ACCESM6_D;TX_PRESEMPM6_D;DELTA_TX_ACCESM6;DELTA_TX_PRESEMPM6;TERRITOIRE_PROCHE1;TERRITOIRE_PROCHE2;TERRITOIRE_PROCHE3;TERRITOIRE_PROCHE4;TERRITOIRE_PROCHE5;TERRITOIRE_PROCHE6;TERRITOIRE_PROCHE7;TERRITOIRE_PROCHE8;TERRITOIRE_PROCHE9;TERRITOIRE_PROCHE10
CLPE17002;LA ROCHELLE;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.2584338174;0.1776563346;0.2731393286;0.1846542767;-0.014705511;-0.006997942;CLPE40003;CLPE56001;CLPE29003;CLPE64003;CLPE56003;CLPE35003;CLPE33001;CLPE29001;CLPE86003;CLPE19001
CLPE17003;ROCHEFORT;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.2691871571;0.1829410287;0.2675670703;0.1799362171;0.0016200867;0.0030048117;CLPE40003;CLPE29003;CLPE17006;CLPE17002;CLPE40002;CLPE24004;CLPE19001;CLPE22003;CLPE56003;CLPE65002
CLPE17004;ROYAN;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.2714993246;0.1850909304;0.2673912509;0.1829956457;0.0041080737;0.0020952848;CLPE85003;CLPE14003;CLPE24004;CLPE56001;CLPE83002;CLPE35003;CLPE22001;CLPE46003;CLPE33001;CLPE50003
CLPE17005;SAINT-JEAN-D'ANGÉLY;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.2364480841;0.1566033124;0.2228234296;0.1444062429;0.0136246545;0.0121970695;CLPE21004;CLPE36003;CLPE61002;CLPE63002;CLPE16003;CLPE23001;CLPE29002;CLPE37003;CLPE24001;CLPE47003
CLPE17006;SAINTES;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.2588823021;0.1723362908;0.2584101502;0.1723354561;0.000472152;8.3468706E-7;CLPE40001;CLPE47001;CLPE22003;CLPE29003;CLPE19001;CLPE84003;CLPE79002;CLPE63004;CLPE24001;CLPE56003
CLPE18001;BOURGES;18;CHER;24;CENTRE-VAL DE LOIRE;0.2151201915;0.1410017051;0.2325874998;0.1539382946;-0.017467308;-0.01293659;CLPE16001;CLPE24003;CLPE58004;CLPE82002;CLPE89001;CLPE61003;CLPE71002;CLPE51001;CLPE26001;CLPE71001
CLPE18002;SAINT-AMAND-MONTROND;18;CHER;24;CENTRE-VAL DE LOIRE;0.1891733192;0.1235337705;0.208397132;0.1377460213;-0.019223813;-0.014212251;CLPE23001;CLPE55002;CLPE58002;CLPE58003;CLPE18003;CLPE81003;CLPE70002;CLPE03003;CLPE36002;CLPE03002
CLPE18003;VIERZON;18;CHER;24;CENTRE-VAL DE LOIRE;0.1925920495;0.1254414586;0.2041897524;0.1337970349;-0.011597703;-0.008355576;CLPE10002;CLPE45002;CLPE10003;CLPE03001;CLPE02004;CLPE02002;CLPE71001;CLPE18002;CLPE88004;CLPE88001
CLPE19001;BRIVE LA GAILLARDE;19;CORRÈZE;75;NOUVELLE-AQUITAINE;0.2669783196;0.1792108262;0.2554334603;0.1706987356;0.0115448593;0.0085120906;CLPE40001;CLPE47001;CLPE56003;CLPE29003;CLPE64002;CLPE17006;CLPE79002;CLPE22002;CLPE50003;CLPE22003
CLPE19002;TULLE;19;CORRÈZE;75;NOUVELLE-AQUITAINE;0.2567324357;0.1657612318;0.2423190742;0.160750112;0.0144133615;0.0050111198;CLPE32002;CLPE86002;CLPE12003;CLPE40001;CLPE07003;CLPE24001;CLPE46002;CLPE19001;CLPE71003;CLPE19003
CLPE19003;USSEL;19;CORRÈZE;75;NOUVELLE-AQUITAINE;0.2510475172;0.1642744644;0.2328684479;0.1539854499;0.0181790692;0.0102890144;CLPE19002;CLPE12003;CLPE46002;CLPE71003;CLPE52001;CLPE07003;CLPE32002;CLPE87004;CLPE89002;CLPE65003
CLPE21001;BEAUNE;21;CÔTE-D'OR;27;BOURGOGNE-FRANCHE-COMTÉ;0.2822661434;0.1879927872;0.2788115131;0.1880198752;0.0034546302;-0.000027088;CLPE29004;CLPE22001;CLPE85004;CLPE37002;CLPE26003;CLPE16002;CLPE35003;CLPE37001;CLPE56001;CLPE44003
CLPE21002;DIJON HORS MÉTROPOLE;21;CÔTE-D'OR;27;BOURGOGNE-FRANCHE-COMTÉ;0.2741020543;0.1882571239;0.262379183;0.1753018677;0.0117228713;0.0129552563;CLPE42002;CLPE71004;CLPE35001;CLPE27001;CLPE37001;CLPE67002;CLPE37002;CLPE39001;CLPE67004;CLPE67003
CLPE21003;DIJON MÉTROPOLE;21;CÔTE-D'OR;27;BOURGOGNE-FRANCHE-COMTÉ;0.2346780023;0.1533196298;0.2355696533;0.1550980543;-0.000891651;-0.001778424;CLPE63001;CLPE37004;CLPE14002;CLPE33003;CLPE25001;CLPE31004;CLPE38002;CLPE44001;CLPE34003;CLPE51003
CLPE21004;MONTBARD;21;CÔTE-D'OR;27;BOURGOGNE-FRANCHE-COMTÉ;0.2198731501;0.1405067176;0.2205579074;0.1441113253;-0.000684757;-0.003604608;CLPE23001;CLPE61002;CLPE17005;CLPE36003;CLPE58003;CLPE03003;CLPE63002;CLPE16003;CLPE37003;CLPE41003
CLPE22001;DINAN;22;CÔTES-D'ARMOR;53;BRETAGNE;0.2743146603;0.1853794199;0.2758955484;0.1875970246;-0.001580888;-0.002217605;CLPE44003;CLPE35003;CLPE56001;CLPE14001;CLPE29003;CLPE35001;CLPE50003;CLPE29004;CLPE42002;CLPE14003
CLPE22002;SAINT-BRIEUC;22;CÔTES-D'ARMOR;53;BRETAGNE;0.2586998513;0.1763864605;0.2603158464;0.1739780467;-0.001615995;0.0024084138;CLPE01002;CLPE56003;CLPE41001;CLPE29003;CLPE40001;CLPE49001;CLPE19001;CLPE14002;CLPE64002;CLPE73002
CLPE22003;TRÉGOR GOËLO - GUINGAMP;22;CÔTES-D'ARMOR;53;BRETAGNE;0.2565139436;0.1711362169;0.2642164024;0.1776443162;-0.007702459;-0.006508099;CLPE29004;CLPE29003;CLPE40001;CLPE17006;CLPE63004;CLPE50003;CLPE37001;CLPE22001;CLPE19001;CLPE24001
CLPE23001;CREUSE;23;CREUSE;75;NOUVELLE-AQUITAINE;0.2067982419;0.1336568975;0.2152846341;0.1402295395;-0.008486392;-0.006572642;CLPE31003;CLPE21004;CLPE58003;CLPE63002;CLPE36003;CLPE81003;CLPE03003;CLPE18002;CLPE17005;CLPE16003
CLPE24001;BERGERAC;24;DORDOGNE;75;NOUVELLE-AQUITAINE;0.2339132562;0.1547446148;0.2470005862;0.1629715709;-0.01308733;-0.008226956;CLPE84003;CLPE84004;CLPE24003;CLPE26002;CLPE37003;CLPE17006;CLPE22003;CLPE84001;CLPE86002;CLPE81002
CLPE24002;NONTRON;24;DORDOGNE;75;NOUVELLE-AQUITAINE;0.2230174011;0.1436226251;0.231008636;0.1529758427;-0.007991235;-0.009353218;CLPE86002;CLPE61002;CLPE24001;CLPE46003;CLPE71003;CLPE32001;CLPE87001;CLPE16003;CLPE21004;CLPE64001
CLPE24003;PÉRIGUEUX;24;DORDOGNE;75;NOUVELLE-AQUITAINE;0.2149646912;0.1411572487;0.2316979331;0.154016895;-0.016733242;-0.012859646;CLPE82002;CLPE18001;CLPE16001;CLPE81001;CLPE61003;CLPE58004;CLPE30002;CLPE26002;CLPE84004;CLPE62006
CLPE24004;SARLAT;24;DORDOGNE;75;NOUVELLE-AQUITAINE;0.2527221401;0.1728830385;0.2707724975;0.1849794389;-0.018050357;-0.0120964;CLPE46003;CLPE17003;CLPE40002;CLPE15002;CLPE17004;CLPE40003;CLPE22003;CLPE85003;CLPE33006;CLPE83002
CLPE25001;BESANÇON;25;DOUBS;27;BOURGOGNE-FRANCHE-COMTÉ;0.2223573379;0.14454443;0.2282447801;0.1507308392;-0.005887442;-0.006186409;CLPE14002;CLPE16001;CLPE63001;CLPE76004;CLPE72001;CLPE26001;CLPE42001;CLPE21003;CLPE18001;CLPE37004
CLPE25002;MONTBÉLIARD;25;DOUBS;27;BOURGOGNE-FRANCHE-COMTÉ;0.1931055805;0.1301089813;0.2205647809;0.1475411203;-0.0274592;-0.017432139;CLPE89003;CLPE60003;CLPE27003;CLPE89001;CLPE42001;CLPE27002;CLPE28002;CLPE60001;CLPE45002;CLPE90001
CLPE25003;PONTARLIER;25;DOUBS;27;BOURGOGNE-FRANCHE-COMTÉ;0.26303981;0.167827751;0.2571039059;0.1730804444;0.0059359041;-0.005252693;CLPE39003;CLPE07001;CLPE56002;CLPE70001;CLPE68005;CLPE67003;CLPE42003;CLPE67001;CLPE57003;CLPE63004
CLPE26001;DRÔME - ARDÈCHE CENTRE;26;DRÔME;84;AUVERGNE-RHÔNE-ALPES;0.2484191562;0.166781242;0.2386439491;0.1585531791;0.0097752071;0.0082280629;CLPE71002;CLPE16001;CLPE26002;CLPE28002;CLPE42001;CLPE42003;CLPE82002;CLPE14002;CLPE25001;CLPE60003
CLPE26002;DRÔME - ARDÈCHE SUD;26;DRÔME;84;AUVERGNE-RHÔNE-ALPES;0.2583713604;0.170871599;0.2458775137;0.1642979695;0.0124938466;0.0065736295;CLPE84003;CLPE26001;CLPE30002;CLPE84004;CLPE42003;CLPE82002;CLPE24003;CLPE43002;CLPE24001;CLPE71002
CLPE26003;NORD ARDÈCHE - NORD DRÔME;26;DRÔME;84;AUVERGNE-RHÔNE-ALPES;0.2821998418;0.188707391;0.2689725154;0.1788741646;0.0132273263;0.0098332265;CLPE37002;CLPE29004;CLPE37001;CLPE49003;CLPE16002;CLPE56002;CLPE41002;CLPE35001;CLPE22003;CLPE72003
